Employee_ID,Gender,Age,Marital_Status,City,Department,Job_Role,Education,Experience_Years,Employment_Type,Joining_Date,Last_Working_Date,Tenure_Years,Salary,Performance_Rating,Performance_Improvement_Plan,Num_Trainings,Leave_Count,Manager_ID,Attrition
E100044,Female,32,Single,Kolkata,HR,HR Manager,Bachelors,4.7,Full-time,2020-01-28,,5.75,42481,3,No,0,9,E102577,No
E100045,Male,28,Married,Pune,Finance,Accountant,MBA,5.9,Contract,2014-09-26,,11.09,41746,1,Yes,1,4,E101711,No
E100046,Male,28,Single,Bengaluru,Marketing,Content Specialist,Bachelors,4.9,Full-time,2016-07-02,,9.32,38358,3,No,0,9,E101549,No
E100047,Female,34,Single,Hyderabad,IT,DevOps Engineer,Bachelors,6.3,Full-time,2021-01-03,,4.82,47946,3,No,2,5,E100326,No
E100048,Male,37,Married,Bengaluru,Operations,Operations Manager,Masters,8.8,Full-time,2022-11-21,,2.93,56404,3,No,2,9,E104839,No
E100049,Female,23,Married,Chennai,Operations,Operations Executive,Masters,2.9,Full-time,2009-01-13,,16.79,41153,3,No,4,3,E104438,No
E100050,Female,34,Married,Chennai,Finance,Accountant,Masters,9.6,Full-time,2016-12-17,,8.86,56350,3,No,0,5,E102757,No
E100051,Female,37,Married,Delhi,Finance,Financial Analyst,High School,16.0,Full-time,2023-08-10,,2.22,66653,5,No,1,7,E101711,No
E100052,Female,30,Married,Bengaluru,R&D,Research Analyst,MBA,6.1,Full-time,2020-07-14,,5.29,55328,4,No,2,10,E104590,No
E100053,Female,32,Married,Ahmedabad,Operations,Operations Manager,Masters,10.5,Full-time,2018-08-24,,7.18,48230,4,No,0,2,E100637,No
E100054,Female,37,Married,Ahmedabad,R&D,Scientist,Masters,0.3,Full-time,2009-09-26,,16.09,35680,4,No,2,4,E102335,No
E100055,Male,30,Single,Bengaluru,Marketing,Digital Marketing Executive,Bachelors,7.7,Full-time,2011-06-05,,14.4,54795,4,No,0,5,E103762,No
E100056,Male,47,Single,Mumbai,Finance,Financial Analyst,Bachelors,16.6,Full-time,2025-04-07,2025-06-11,0.18,66255,3,No,2,3,E100557,Yes
E100057,Male,30,Single,Kolkata,Customer Support,Support Lead,Bachelors,9.8,Full-time,2021-07-12,,4.3,36996,4,No,2,7,E101114,No
E100058,Male,37,Married,Pune,Finance,Accountant,Bachelors,15.6,Full-time,2024-03-29,2024-11-13,0.63,67086,2,No,0,4,,Yes
E100059,Female,36,Single,Mumbai,R&D,Research Analyst,Bachelors,5.8,Contract,2018-05-10,,7.47,48538,3,No,2,3,E102353,No
E100060,Male,21,Married,Pune,IT,Software Engineer,Bachelors,1.0,Full-time,2024-11-12,,0.96,32033,2,No,2,7,E101274,No
E100061,Female,37,Divorced,Mumbai,Customer Support,Support Lead,Bachelors,10.1,Full-time,2022-07-31,,3.24,46857,4,No,0,7,E102795,No
E100062,Male,22,Married,Mumbai,HR,Recruiter,High School,1.8,Full-time,2018-08-15,,7.2,43622,4,No,2,8,E104293,No
E100063,Female,28,Single,Pune,HR,Recruiter,Bachelors,4.9,Full-time,2024-10-10,,1.05,43870,2,No,0,6,,No
E100064,Female,44,Single,Hyderabad,HR,HR Executive,Bachelors,12.6,Full-time,2016-06-01,,9.41,57581,3,No,1,4,E103424,No
E100065,Male,29,Married,Delhi,Customer Support,Support Agent,Masters,5.9,Full-time,2023-05-07,,2.48,40519,3,No,2,7,E101604,No
E100066,Female,24,Single,Pune,HR,Recruiter,Bachelors,2.2,Full-time,2008-04-13,,17.54,40658,3,No,5,7,E104103,No
E100067,Male,25,Married,Ahmedabad,Customer Support,Support Lead,MBA,4.3,Full-time,2024-06-16,,1.37,36441,4,No,4,3,E100127,No
E100068,Female,39,Married,Kolkata,Marketing,Content Specialist,Bachelors,7.2,Full-time,2015-03-25,,10.6,45652,3,No,2,4,E103762,No
E100069,Male,36,Single,Kolkata,Finance,Financial Analyst,Bachelors,9.8,Full-time,2015-04-16,,10.54,57492,2,No,2,7,E101622,No
E100070,Male,25,Single,Hyderabad,IT,Junior Developer,Masters,1.7,Full-time,2012-04-14,,13.54,30665,2,No,1,8,E103421,No
E100071,Female,39,Married,Ahmedabad,HR,HR Executive,Bachelors,19.0,Full-time,2008-05-21,,17.44,63720,3,No,1,6,E104902,No
E100072,Male,29,Single,Pune,HR,HR Manager,Masters,2.8,Full-time,2017-07-17,,8.28,40783,4,No,0,6,E102428,No
E100073,Female,28,Married,Delhi,Operations,Operations Manager,Bachelors,4.0,Full-time,2024-08-29,,1.16,43143,3,No,2,5,E104829,No
E100074,Male,28,Divorced,Hyderabad,IT,Data Analyst,Bachelors,5.2,Full-time,2014-08-23,,11.18,45334,4,No,3,14,E101513,No
E100075,Male,30,Single,Hyderabad,Finance,Accountant,High School,6.4,Full-time,2014-07-21,,11.27,50626,2,Yes,0,3,E101711,No
E100076,Male,33,Single,Ahmedabad,IT,Junior Developer,High School,8.0,Full-time,2009-02-24,,16.67,45560,4,No,3,9,E100326,No
E100077,Male,29,Single,Mumbai,Marketing,Brand Manager,High School,5.8,Full-time,2014-10-25,2015-12-07,1.12,36360,4,No,1,6,E102654,Yes
E100078,Female,31,Married,Chennai,Finance,Financial Analyst,Bachelors,1.0,Full-time,2017-12-05,,7.9,37928,4,No,1,7,E102237,No
E100079,Other,24,Married,Delhi,Marketing,Content Specialist,Bachelors,3.3,Full-time,2012-09-24,,13.09,41200,3,No,2,6,E101180,No
E100080,Male,37,Single,Bengaluru,Marketing,Content Specialist,Bachelors,8.7,Full-time,2021-04-26,,4.51,51422,3,No,1,6,,No
E100081,Male,39,Single,Ahmedabad,R&D,Scientist,Bachelors,13.7,Full-time,2013-12-07,,11.89,59277,3,No,0,4,E101725,No
E100082,Male,37,Married,Hyderabad,Finance,Accountant,Bachelors,7.4,Full-time,2011-09-21,,14.1,46015,1,Yes,0,4,E103468,No
E100083,Female,34,Single,Delhi,Marketing,Content Specialist,Bachelors,10.1,Full-time,2017-01-10,,8.8,52103,2,No,0,7,E103815,No
E100084,Male,26,Married,Kolkata,Marketing,Content Specialist,Bachelors,3.7,Full-time,2008-07-30,,17.25,38323,3,No,0,6,E104757,No
E100085,Female,40,Divorced,Mumbai,HR,HR Executive,Masters,16.6,Full-time,2014-01-16,2015-02-09,1.07,65438,2,No,4,9,E102678,Yes
E100086,Male,28,Married,Kolkata,IT,Junior Developer,Bachelors,3.8,Full-time,2010-01-17,2020-10-01,10.7,41318,3,No,2,10,E103631,Yes
E100087,Male,38,Single,Pune,Operations,Operations Manager,Masters,10.3,Full-time,2022-11-10,,2.97,58331,4,No,1,6,E101926,No
E100088,Male,22,Married,Kolkata,Customer Support,Support Agent,Bachelors,0.6,Full-time,2008-01-10,,17.8,32401,3,No,1,6,E103088,No
E100089,Male,33,Married,Ahmedabad,R&D,Scientist,Bachelors,6.9,Full-time,2012-07-25,,13.26,43198,3,No,3,6,E101514,No
E100090,Male,22,Single,Ahmedabad,Marketing,Content Specialist,Bachelors,0.9,Contract,2021-08-27,,4.17,25419,3,No,2,4,E101658,No
E100091,Male,30,Single,Delhi,Finance,Finance Manager,Bachelors,10.0,Full-time,2010-07-18,,15.28,54527,3,No,2,2,E100201,No
E100092,Female,31,Single,Hyderabad,R&D,Research Analyst,Bachelors,3.8,Contract,2018-10-27,,7.0,42840,3,No,1,3,E102189,No
E100093,Male,37,Married,Bengaluru,R&D,Research Analyst,Bachelors,11.7,Full-time,2025-09-19,,0.11,63392,1,No,2,3,E104590,No
E100094,Female,28,Married,Hyderabad,Customer Support,Support Lead,Bachelors,8.0,Full-time,2021-01-02,,4.82,43237,3,No,5,6,E100718,No
E100095,Male,41,Single,Kolkata,R&D,Research Analyst,Bachelors,6.6,Full-time,2012-03-25,,13.59,50410,2,No,1,13,E100872,No
E100096,Male,32,Married,Pune,Finance,Finance Manager,Masters,4.1,Full-time,2016-07-20,,9.27,36087,2,No,2,3,E100793,No
E100097,Male,38,Married,Pune,Customer Support,Support Agent,High School,17.7,Full-time,2017-11-15,2019-02-26,1.28,54403,2,No,3,10,E103455,Yes
E100098,Female,30,Single,Bengaluru,R&D,Research Analyst,Bachelors,7.0,Full-time,2013-12-11,,11.88,49244,3,No,0,6,E103717,No
E100099,Female,26,Married,Kolkata,Operations,Logistics Coordinator,Bachelors,5.0,Full-time,2025-01-12,,0.79,40070,3,No,1,5,,No
E100100,Male,40,Divorced,Hyderabad,R&D,Product Analyst,High School,11.6,Full-time,2017-09-25,,8.09,56884,3,No,5,8,E100245,No
E100101,Female,42,Married,Hyderabad,HR,Recruiter,Bachelors,8.6,Full-time,2009-04-04,,16.57,50157,2,Yes,2,4,E100204,No
E100102,Male,37,Single,Bengaluru,Marketing,Brand Manager,Bachelors,17.0,Full-time,2016-07-30,,9.25,63770,2,Yes,3,7,E102001,No
E100103,Female,22,Single,Hyderabad,Finance,Accountant,Bachelors,1.8,Full-time,2018-06-08,,7.39,32196,2,No,1,6,E100276,No
E100104,Male,24,Married,Hyderabad,Marketing,Content Specialist,High School,1.2,Contract,2013-08-10,,12.22,37179,5,No,2,6,E103500,No
E100105,Male,27,Single,Chennai,R&D,Scientist,Bachelors,6.4,Full-time,2014-08-20,,11.19,53165,4,No,2,7,E100790,No
E100106,Female,32,Married,Mumbai,Marketing,Digital Marketing Executive,Masters,6.7,Full-time,2014-06-02,,11.41,48232,4,No,0,4,E101934,No
E100107,Female,26,Married,Hyderabad,Finance,Finance Manager,Bachelors,1.2,Full-time,2022-10-14,,3.04,44022,2,No,5,9,E101744,No
E100108,Female,35,Single,Ahmedabad,IT,Software Engineer,Bachelors,5.6,Full-time,2010-12-12,,14.88,46312,3,No,2,8,E104350,No
E100109,Male,35,Single,Pune,HR,HR Manager,Bachelors,9.2,Full-time,2011-09-09,,14.14,43190,2,No,2,5,E104893,No
E100110,Female,27,Single,Delhi,Marketing,Brand Manager,Bachelors,4.1,Full-time,2024-11-30,,0.91,37945,3,Yes,0,3,E103867,No
E100111,Female,22,Single,Pune,Finance,Finance Manager,MBA,2.0,Contract,2013-12-06,,11.89,38998,5,No,1,8,E102237,No
E100112,Male,29,Married,Kolkata,HR,HR Manager,Masters,5.4,Full-time,2010-06-06,2025-09-23,15.3,46252,2,No,0,2,E101574,Yes
E100113,Male,31,Married,Chennai,Finance,Accountant,Masters,8.2,Full-time,2018-05-31,,7.41,49878,2,No,2,6,E101525,No
E100114,Male,33,Divorced,Hyderabad,Marketing,Content Specialist,Bachelors,8.5,Contract,2013-04-07,2025-06-26,12.22,53569,2,Yes,1,8,E103197,Yes
E100115,Male,24,Single,Kolkata,IT,Junior Developer,Masters,2.5,Full-time,2017-04-21,2024-10-23,7.51,40354,5,No,1,3,E104869,Yes
E100116,Female,23,Single,Pune,HR,HR Manager,MBA,0.8,Full-time,2013-04-18,2021-08-05,8.3,38401,2,No,1,4,E104893,Yes
E100117,Male,37,Single,Mumbai,HR,Recruiter,MBA,7.0,Full-time,2010-09-27,,15.09,40312,4,No,1,7,E100942,No
E100118,Female,40,Single,Mumbai,R&D,Research Analyst,Bachelors,20.0,Full-time,2010-10-28,,15.0,78983,4,No,1,8,E104748,No
E100119,Female,33,Single,Chennai,Finance,Financial Analyst,Bachelors,7.3,Full-time,2021-05-14,,4.46,42237,4,No,4,10,E103145,No
E100120,Female,34,Married,Hyderabad,Sales,Sales Manager,Bachelors,6.1,Full-time,2008-07-30,2011-09-12,3.12,40085,4,No,4,8,E101920,Yes
E100121,Female,36,Single,Bengaluru,Sales,Sales Manager,Bachelors,5.9,Full-time,2017-06-10,,8.38,46951,3,No,1,6,E104303,No
E100122,Male,23,Single,Delhi,HR,Recruiter,Bachelors,0.7,Full-time,2021-10-17,,4.03,31583,2,No,3,6,E101972,No
E100123,Female,38,Married,Ahmedabad,Sales,Sales Representative,Masters,8.2,Full-time,2018-09-28,2023-05-30,4.67,47124,2,Yes,2,9,E104378,Yes
E100124,Male,38,Single,Delhi,Customer Support,Support Agent,MBA,7.9,Full-time,2010-10-30,,15.0,47591,4,No,2,4,E101587,No
E100125,Female,25,Single,Hyderabad,Marketing,Content Specialist,Bachelors,5.0,Full-time,2010-03-23,2012-12-14,2.73,46884,4,No,0,7,E102119,Yes
E100126,Male,32,Single,Ahmedabad,Finance,Accountant,Bachelors,1.9,Full-time,2015-01-04,,10.81,38092,3,No,1,7,E100593,No
E100127,Female,21,Single,Ahmedabad,Customer Support,Support Lead,Bachelors,0.4,Full-time,2010-02-02,,15.73,32400,4,No,0,6,,No
E100128,Female,26,Single,Mumbai,Customer Support,Support Agent,Bachelors,2.4,Full-time,2015-05-24,2023-01-26,7.68,31894,3,No,2,3,E104704,Yes
E100129,Male,21,Married,Mumbai,HR,HR Manager,Masters,1.0,Full-time,2015-11-20,,9.94,36947,3,No,0,6,E100719,No
E100130,Male,25,Single,Delhi,HR,Recruiter,Bachelors,3.7,Full-time,2010-07-30,,15.25,34067,5,No,3,5,E102576,No
E100131,Male,34,Married,Mumbai,Marketing,Content Specialist,Bachelors,10.8,Full-time,2023-07-21,,2.27,54305,3,No,1,8,E104050,No
E100132,Male,32,Single,Pune,Marketing,Digital Marketing Executive,Masters,5.0,Full-time,2011-03-19,,14.61,41268,4,No,0,4,E101024,No
E100133,Male,23,Single,Chennai,Customer Support,Support Agent,Bachelors,1.9,Full-time,2011-07-13,,14.29,30358,3,No,3,5,E102969,No
E100134,Female,29,Married,Delhi,Operations,Operations Manager,Masters,8.0,Full-time,2024-12-02,,0.9,50453,2,Yes,2,9,E104829,No
E100135,Male,29,Single,Ahmedabad,Sales,Sales Representative,Bachelors,4.5,Full-time,2019-06-29,2020-12-06,1.44,35179,3,No,2,11,E102944,Yes
E100136,Male,39,Single,Hyderabad,Operations,Operations Manager,Masters,19.0,Full-time,2021-06-10,,4.38,74318,3,No,0,9,E100805,No
E100137,Male,39,Single,Hyderabad,Sales,Sales Executive,MBA,11.3,Full-time,2019-02-26,,6.67,48602,3,No,2,6,E100837,No
E100138,Male,31,Single,Pune,Customer Support,Support Agent,Bachelors,10.0,Full-time,2008-12-12,,16.88,48151,3,No,0,4,E101564,No
E100139,Male,35,Single,Kolkata,Customer Support,Support Agent,High School,7.2,Full-time,2017-05-14,,8.46,45885,2,No,2,2,E100429,No
E100140,Male,36,Married,Ahmedabad,Marketing,Digital Marketing Executive,MBA,12.3,Full-time,2009-12-22,2019-12-07,9.96,51751,4,No,3,7,E104845,Yes
E100141,Male,33,Married,Hyderabad,HR,HR Executive,Bachelors,8.4,Full-time,2025-06-22,,0.35,51637,3,No,3,5,E103186,No
E100142,Male,34,Single,Pune,IT,Software Engineer,Bachelors,6.1,Full-time,2022-06-23,,3.35,43557,3,No,1,6,E102602,No
E100143,Male,34,Married,Bengaluru,IT,Data Analyst,Bachelors,11.5,Full-time,2011-12-22,2023-03-21,11.24,61609,3,No,1,6,E103742,Yes
E100144,Female,34,Married,Pune,R&D,Product Analyst,Bachelors,12.5,Contract,2011-05-21,,14.44,62060,4,No,4,10,E104342,No
E100145,Male,30,Single,Mumbai,R&D,Research Analyst,Bachelors,3.9,Full-time,2018-05-10,,7.47,52483,3,Yes,4,4,E103072,No
E100146,Male,30,Married,Delhi,R&D,Research Analyst,Masters,0.8,Full-time,2018-05-18,2025-01-18,6.67,39408,2,No,1,2,E100575,Yes
E100147,Female,38,Single,Ahmedabad,Sales,Sales Manager,Bachelors,8.2,Full-time,2018-02-07,,7.72,48320,5,No,2,3,E104378,No
E100148,Female,31,Single,Mumbai,HR,HR Manager,High School,9.6,Full-time,2017-11-08,,7.97,49603,2,No,2,7,E102576,No
E100149,Male,32,Married,Pune,IT,Senior Developer,Bachelors,5.4,Full-time,2022-02-24,,3.67,42966,3,Yes,2,4,E103631,No
E100150,Male,33,Married,Hyderabad,Operations,Operations Executive,Bachelors,9.2,Full-time,2021-07-08,,4.31,48038,4,No,1,7,E104116,No
E100151,Male,21,Married,Hyderabad,IT,Senior Developer,Masters,0.0,Contract,2016-10-15,,9.03,45712,3,No,0,8,E103631,No
E100152,Female,38,Married,Pune,IT,DevOps Engineer,High School,7.8,Full-time,2024-07-27,,1.25,56169,3,No,4,7,E101643,No
E100153,Female,30,Single,Hyderabad,HR,Recruiter,Bachelors,7.9,Full-time,2025-03-08,,0.64,53041,4,No,1,7,E100204,No
E100154,Male,31,Single,Delhi,R&D,Research Analyst,Bachelors,3.4,Full-time,2024-07-25,2025-06-19,0.9,42821,3,No,2,2,E104458,Yes
E100155,Male,30,Single,Kolkata,Sales,Sales Representative,Masters,10.0,Full-time,2023-07-16,,2.29,52243,3,No,0,10,E100695,No
E100156,Male,33,Married,Ahmedabad,IT,Junior Developer,Bachelors,4.0,Full-time,2025-07-30,,0.25,49291,3,No,2,3,E104092,No
E100157,Male,32,Married,Ahmedabad,R&D,Research Analyst,Bachelors,8.7,Full-time,2023-03-19,,2.61,57245,1,No,0,9,E104074,No
E100158,Female,31,Married,Kolkata,R&D,Scientist,Masters,5.0,Full-time,2021-07-24,,4.26,39901,3,No,5,7,E100245,No
E100159,Male,38,Married,Delhi,IT,Senior Developer,Bachelors,10.6,Full-time,2010-10-18,,15.03,49107,4,No,1,12,E104032,No
E100160,Female,30,Married,Bengaluru,Marketing,Digital Marketing Executive,Bachelors,8.8,Contract,2012-12-23,,12.85,51974,1,Yes,2,6,E101866,No
E100161,Female,26,Single,Pune,R&D,Scientist,Bachelors,2.6,Full-time,2016-05-29,,9.42,39057,4,No,0,10,E104590,No
E100162,Male,31,Married,Pune,Finance,Financial Analyst,High School,4.6,Full-time,2014-06-08,,11.39,39499,3,No,1,6,E103091,No
E100163,Female,35,Married,Mumbai,R&D,Product Analyst,Masters,12.5,Full-time,2012-11-01,,12.99,54569,2,Yes,1,10,E102765,No
E100164,Female,21,Single,Hyderabad,IT,DevOps Engineer,Bachelors,0.8,Full-time,2013-05-07,,12.48,43802,4,No,0,9,E101274,No
E100165,Male,27,Married,Mumbai,Customer Support,Support Lead,Masters,3.5,Full-time,2024-02-12,,1.71,32903,3,No,2,4,E102148,No
E100166,Male,26,Single,Kolkata,IT,Senior Developer,Bachelors,5.3,Full-time,2019-09-28,,6.08,44508,2,No,2,9,E103421,No
E100167,Female,35,Single,Mumbai,Operations,Operations Executive,Bachelors,5.9,Full-time,2022-04-04,,3.57,46566,3,No,3,4,E100824,No
E100168,Male,21,Single,Pune,Customer Support,Support Lead,High School,0.6,Full-time,2010-04-29,,15.5,23434,3,No,1,6,E103502,No
E100169,Male,30,Married,Bengaluru,Operations,Operations Executive,Bachelors,6.9,Full-time,2023-08-06,,2.23,51683,4,No,1,8,E101334,No
E100170,Male,21,Single,Ahmedabad,R&D,Product Analyst,Bachelors,0.7,Full-time,2025-09-28,,0.08,31298,2,No,0,6,,No
E100171,Male,32,Single,Ahmedabad,Finance,Financial Analyst,Bachelors,8.8,Full-time,2012-04-14,,13.54,45876,4,No,4,3,E100058,No
E100172,Female,32,Single,Hyderabad,Marketing,Brand Manager,High School,11.8,Full-time,2016-12-20,,8.85,50643,2,No,0,7,E103867,No
E100173,Male,22,Married,Pune,R&D,Scientist,Bachelors,0.4,Full-time,2009-11-07,2019-07-15,9.68,36386,2,No,2,8,E101133,Yes
E100174,Female,34,Single,Pune,HR,HR Manager,Masters,4.9,Full-time,2014-08-18,,11.2,43373,4,No,0,8,E102577,No
E100175,Female,30,Single,Pune,Marketing,Brand Manager,Bachelors,6.4,Full-time,2015-11-28,,9.92,41459,5,No,0,6,E101265,No
E100176,Female,45,Single,Kolkata,Customer Support,Support Lead,Masters,3.2,Full-time,2023-03-28,,2.59,32145,3,No,1,6,E101039,No
E100177,Male,32,Single,Mumbai,IT,Software Engineer,Bachelors,8.2,Full-time,2022-06-21,,3.35,49704,2,No,1,11,E101990,No
E100178,Male,36,Married,Ahmedabad,Operations,Operations Manager,Bachelors,4.4,Full-time,2025-02-11,,0.71,38974,3,No,3,3,E104438,No
E100179,Male,27,Single,Hyderabad,HR,Recruiter,Bachelors,2.3,Full-time,2024-07-01,,1.33,38478,4,No,0,4,E104625,No
E100180,Male,36,Married,Hyderabad,IT,Junior Developer,MBA,8.9,Full-time,2021-09-21,,4.1,50202,4,No,4,6,E102801,No
E100181,Female,22,Single,Delhi,Marketing,Content Specialist,Bachelors,1.2,Full-time,2017-12-25,,7.84,35255,3,No,2,10,E101553,No
E100182,Female,23,Single,Delhi,HR,Recruiter,PhD,1.8,Full-time,2014-09-23,,11.1,30590,3,No,2,3,,No
E100183,Female,34,Married,Chennai,IT,Data Analyst,Bachelors,9.8,Full-time,2019-01-30,2019-07-16,0.46,59543,2,No,2,4,E100757,Yes
E100184,Female,36,Married,Bengaluru,Operations,Logistics Coordinator,Bachelors,0.0,Contract,2014-12-08,,10.89,31073,2,Yes,1,0,E104200,No
E100185,Male,39,Single,Delhi,Customer Support,Support Lead,Masters,15.3,Full-time,2009-08-30,,16.16,57593,4,No,1,11,E101039,No
E100186,Female,27,Married,Bengaluru,R&D,Scientist,Bachelors,5.1,Full-time,2019-04-12,,6.55,47873,4,No,1,6,E101514,No
E100187,Male,35,Single,Chennai,Sales,Sales Executive,Bachelors,8.3,Full-time,2014-05-15,,11.46,48738,4,No,4,9,E103671,No
E100188,Male,31,Married,Hyderabad,HR,HR Manager,MBA,8.4,Full-time,2022-05-17,,3.45,44433,3,No,3,5,E100942,No
